GeneSymbol,Marker,CellType,Tier,Organism,Source,Comments
PTPRC,CD45,WhiteBloodCell,2,human,Nikolaus,
CD19,CD19,Bcell,1,human,bdbiosciences,
MS4A1,CD20,Bcell,2,human,bdbiosciences,
CD79A,CD79A,Bcell,1,human,Chris,
CD5,CD5,Bcell_CLL,3,human,Chris,
CD24,CD24,Bcell_regs,1,human,ThomasK,
CD27,CD27,Bcell_regs,3,human,ThomasK,
CD38,CD38,Bcell_active,3,human,ThomasK,also used for CMP_MEP_GMP_CLP
TCL1A,TCL1A,CLL,1,human,Chris,
ITGAX,CD11c,DendriticCell,1,human,bdbiosciences,
IL3RA,CD123,DendriticCell,1,human,bdbiosciences,
CD1C,CD1C,DendriticCell,1,human,ThomasK,
CD27,CD27,Tcell,3,human,ThomasK,
IL32,IL32,Tcell,1,human,ThomasK,
CD3D,CD3,Tcell,1,human,bdbiosciences,
CD4,CD4,Tcell,1,human,bdbiosciences,
CD8A,CD8A,Tcell,1,human,bdbiosciences,
TRDC,TRDC,Tcell_GammaDelta,1,human,ThomasK,
SELL,CD62L,Naive_Tcell,1,human,ThomasK,
CD44,CD44,Memory_Tcell,1,human,ThomasK,
CCR7,CCR7,Naive_Tcell,3,human,ThomasK,
CD3G,CD3G,T_cell,1,human,ThomasK,
GZMB,GZMB,NK_CTL,1,human,ThomasK,
NCAM1,CD56,Nkcell,1,human,bdbiosciences,
NKG7,NKG7,Nkcell,1,human,ThomasK,
NCAM1,CD56,NKcell,1,human,ThomasK,
KLRK1,NKG2D,NKcell,3,human,ThomasK,
NCR1,NKP46,NKcell,,human,ThomasK,
CD34,CD34,StemCell_Precursor,1,human,bdbiosciences,
CD14,CD14,Macrophage_Monocyte,1,human,bdbiosciences,
CD33,CD33,Macrophage_Monocyte,1,human,bdbiosciences,
CD68,CD68,Macrophage_Monocyte,1,human,ThomasK,
CST3,CST3,Macrophage_Monocyte,1,human,ThomasK,
FCGR3A,CD16,NurseLikeCell_NK,1,human,ThomasK,low in NK cells
CEACAM8,CD66b,Granulocyte,1,human,bdbiosciences,
ITGA2B,CD41,Platelet,1,human,bdbiosciences,
ITGB3,CD61,Platelet,1,human,bdbiosciences,
SELP,CD62,Platelet,1,human,bdbiosciences,
HBB,HBB,Erythrocyte,1,human,Nikolaus,
HBA1,HBA,Erythrocyte,1,human,Nikolaus,
GYPA,CD235a,Erythrocyte,1,human,bdbiosciences,
EPCAM,CD326,EpithelialCell,1,human,bdbiosciences,
MCAM,CD146,EndothelialCell,1,human,bdbiosciences,
LYVE1,LYVE1,EndothelialCell,1,human,bdbiosciences,
Lmo7,Lmo7,?,2,mouse,Matthias,
Igfbp5,Igfbp5,?,2,mouse,Matthias,
Mafb,Mafb,?,2,mouse,Matthias,
Col4a3,Col4a3,?,2,mouse,Matthias,
Cd14,Cd14,ImmuneCell,2,mouse,Matthias,
Adgre1,Adgre1,?,2,mouse,Matthias,
Cd28,Cd28,?,2,mouse,Matthias,
Tgfb1,Tgfb1,?,2,mouse,Matthias,
Cd33,Cd33,?,2,mouse,Matthias,
Cd3e,Cd3e,ImmuneCell,2,mouse,Matthias,
Ptprc,Ptprc,?,2,mouse,Matthias,
Gypa,Gypa,?,2,mouse,Matthias,
Podxl,Podxl,?,2,mouse,Matthias,
Synpo,Synpo,?,2,mouse,Matthias,
